Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
"BMG7989 Financial Inclusion Tracker Uganda, Tanzania, Pakistan",Gates Foundation,Grant Award,FITS Pakistan,Tavneet Suri,9/11/2015,1,1,,1.0,,11/13/2015,,,,,,,,,,,,,
MIT0243: Supporting  Colombia?s National Results-Based Management and Evaluation System (SINERGIA),Massachusetts Institute of Technology (MIT),Grant Award,Supporting Colombia?s National Results-Based Management and Evaluation System,Christopher Blattman,9/30/2015,1,1,Colombia,0.0,,12/3/2015,,,,,,,,,,,,,
New Proposal for National Household Database (CAPI),World Bank,Grant Proposal,National Household Database (CAPI),,10/15/2015,0,1,Bangladesh,0.0,,10/15/2015,,,,,,,,,,,,,
JPAL GPI Proposal for Islamic Finance,Massachusetts Institute of Technology (MIT),Grant Proposal,Islamic Finance,Adam Osman,3/31/2016,0,1,Bangladesh,0.0,,3/31/2016,,,,,,,,,,,,,
BSR0737: Factory Nutrition Programme (Bangladesh),Business for Social Responsibility,Grant Award,Factory Nutrition Programme,Atonu Rabbani,11/23/2015,1,1,Bangladesh,0.0,,2/8/2016,,,,,,,,,,,,,
IGC3403 Women?s political empowerment in Ghana,International Growth Centre (IGC),Grant Award,Women and Democracy,Nahomi Ichino,1/16/2016,1,1,Ghana,0.0,,9/7/2016,Noah L. Nathan,,,,,,,,,,,,
CWM0001 AidData Proposal for Geomapping of KC Communities (Philippines),The College of William and Mary,Grant Award,Geomapping of KC Communities,Ariel BenYishay,11/16/2015,1,1,Philippines,0.0,,11/10/2016,,,,,,,,,,,,,
C&A Labor Voices,C&A Foundation,Grant Proposal,LaborVoices,Jeremy Magruder,8/1/2016,0,1,Bangladesh,0.0,,8/1/2016,,,,,,,,,,,,,
UCB-19-20004: Hellman Fellows Cellphone Base Study (Philippines),"University of California, Berkeley",Grant Award,Cellphone Base Study,Niall Keleher,1/31/2019,1,1,Philippines,0.0,,3/26/2019,Arman Rezaee,Joshua Blumenstock,Erin Troland,,,,,,,,,,
"IGC9316 - Growing Together, Trust, Spontaneous Clusters and the Growth of Micro, SMEs in Cities (Zambia)",International Growth Centre (IGC),Grant Award,Clusters Project,Nava Ashraf,12/18/2015,1,1,Zambia,0.0,,4/1/2016,"Edward Glaeser 
PhD Alexia Delfino",Abraham Holland,Bryce Millett Steinberg,,,,,,,,,,
MIT4060: GI Proposal for Accountability leaders and firms (Peru),Massachusetts Institute of Technology (MIT),Grant Award,Accountability leaders and firms (Pilot),Renard Sexton,9/18/2015,1,1,Peru,0.0,,3/28/2016,,,,,,,,,,,,,
STA2071 Lab 3: Snap Judgments ? Candidate Likeability or Productivity?,Stanford University,Grant Award,Thin Slice Voters & Elections,Katherine Casey,12/17/2015,1,1,Sierra Leone,0.0,,12/18/2015,,,,,,,,,,,,,
IGC9921 CHW Assessment,London School of Economics and Political Science,Grant Award,CHW Assessment,Gianmarco Leon,2/26/2016,1,1,Sierra Leone,0.0,,9/19/2016,,,,,,,,,,,,,
STR0001 Another round of data collection for the Mali Speed School project,Strømme Foundation,Grant Award,Speed School Follow Up,Andrew Dillon,12/15/2015,1,1,Francophone West Africa,0.0,,3/16/2017,,,,,,,,,,,,,
