Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
ADB-18-10002: Rice SDP PD Peter Srouji's contract (Philippines),Asian Development Bank (ADB),Grant Award,CAM- Monitoring & Evaluation of EFAP and Rice SDP Projects,,9/14/2018,1,1,Philippines,0.0,,9/19/2018,,,,,,,,,,,,,
GIF Proposal for Supporting Bogota Mayor's Office on Security Matters,Global Innovation Fund,Grant Proposal,Supporting Bogota Mayor's Office on Security Matters,Christopher Blattman,4/15/2016,0,1,Colombia,0.0,,4/15/2016,Daniel Ortega,Daniel Mejia,"Donald Green 
PhD Santiago Tobon",,,,,,,,,,
UCF0001 SPARQ REQ 71898947 (Kenya),"University of California, San Francisco",Grant Award,SPARQ,Dominic Montagu,11/11/2015,1,1,Kenya,0.0,,4/22/2016,Nadia Diamond-Smith,May Sudhinaraset,,,,,,,,,,,
GIZ0351 BMZ Funding for SOGA Evaluation (Kenya),Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Award,Skills for the Oil and Gas Sector in Africa (SOGA),Peter Lefrancois,2/19/2016,1,1,Kenya,0.0,,3/4/2016,,,,,,,,,,,,,
WBK7972 Follow up (Firm & Youths) survey for the impact evaluation of the apprenticeship project in Ivory Coast,World Bank,Grant Award,Impact Evaluation of the Apprenticeship Project in Cote d-Ivoire,Bruno Crepon,12/30/2015,1,1,Francophone West Africa,0.0,,1/20/2016,Patrick Premand,,,,,,,,,,,,
EPA Water Purification Decisions (IPA would receive a subgrant),"University of California, San Diego",Grant Proposal,Water Purification Decisions,Teevrat Garg,4/14/2016,0,1,Bangladesh,0.0,,4/21/2016,Enamul Haque,Alec Brandon,,,,,,,,,,,
Knowledge provision and the adoption of better treatment practices among private for-profit medical providers,International Growth Centre (IGC),Grant Proposal,Knowledge Provision & the Adoption of Better Treatment Practices,Alessandro Tarozzi,1/17/2016,0,1,Ghana,0.0,,1/17/2016,Niklas Heusch,,,,,,,,,,,,
New Proposal for Urban Drinking Water and Health Outcomes (IPA would receive a subgrant),Harvard School of Public Health,Grant Proposal,Sachet 2.0 (Urban Drinking Water and Health Outcomes),Gunther Fink,1/22/2016,0,1,Ghana,0.0,,1/22/2016,Jim Wright,Mawuli Dzodzomenyo,,,,,,,,,,,
DPW1- Small Scale Fisheries in Tanzania,International Initiative for Impact Evaluation (3ie),Grant Proposal,Small-Scale Fisheries and Institutional Reform in Rural Tanzania,Yaniv Stopnitzky,5/11/2016,0,1,Tanzania,0.0,,5/12/2016,Matthew Reimer,Paul Onyango,,,,,,,,,,,
New Proposal for Reducing Conflict in Mining Communities,Global Innovation Fund,Grant Proposal,Reducing Conflict in Mining Communities,Renard Sexton,3/1/2016,0,1,Peru,0.0,,3/1/2016,Carlos Gustavo Machicado,Boris Branisa,,,,,,,,,,,
IGC proposal - Colluperation,International Growth Centre (IGC),Grant Proposal,Competition in Small-Scale Retail & Service,Russell Toth,1/17/2016,0,1,Myanmar,0.0,,1/17/2016,,,,,,,,,,,,,
IDB funding,Inter-American Development Bank (IDB),Grant Proposal,Business Accelarators- Start-Up Peru,Jeanne Lafortune,5/6/2016,0,1,Peru,0.0,,5/6/2016,Alessandro Maffioli,José Tessada,,,,,,,,,,,
Water.org WASH,Water.org,Grant Proposal,Information Campaign WASH,Ryoko Sato,3/29/2016,0,1,Philippines,0.0,,3/29/2016,,,,,,,,,,,,,
New Proposal for Bavaria Foundation: Knowledge transfer to Chambers of Commerce,Bavaria Foundation,Grant Proposal,Bavaria Foundation- Knowledge transfer to Chambers of Commerce,,2/5/2016,0,1,Colombia,0.0,,2/5/2016,,,,,,,,,,,,,
WBK-18-20004: Supervision of Impact Evaluation of Colombia Productiva (Colombia),World Bank,Grant Award,Promotion of the Export Market (PEM),Leonardo Iacovone,10/24/2018,1,1,Colombia,0.0,,11/13/2018,Rachael Meager,David McKenzie,,,,,,,,,,,
Impact Evaluation of Hand In Hand Eastern Africa?s Program in Kenya,Swedish International Development Cooperation Agency (SIDA),Grant Proposal,Hand in Hand evaluation,Andrew Brudevold-Newman,6/21/2016,0,1,Kenya,0.0,,6/21/2016,,,,,,,,,,,,,
IGC for Relaxing financial constraint for MSMEs: innovations in business loans,International Growth Centre (IGC),Grant Proposal,Relaxing financial constraint for MSMEs- innovations in business loans,Giorgia Barboni,1/17/2016,0,1,Kenya,0.0,,1/17/2016,PhD Adrien Matray,,,,,,,,,,,,
Pilot Evaluation of the Kenya Comprehensive School Health Program,Massachusetts Institute of Technology (MIT),Grant Proposal,Kenya Comprehensive School Health Program Evaluation,,3/31/2016,0,1,Kenya,0.0,,3/31/2016,,,,,,,,,,,,,
BUU0003: Norvatis Access in Kenya - Pilot (Kenya),Boston University,Grant Award,Evaluation of Novartis Access in Kenya,Veronika Wirtz,3/1/2016,1,1,Kenya,0.0,,8/15/2016,Peter C Rockers,Monica A Onyango,Richard Laing,,,,,,,,,,
Proposal for YEP consultancy,Inter-American Development Bank (IDB),Grant Proposal,YEP consultancy,Paul Gertler,4/19/2016,0,1,Colombia,0.0,,4/19/2016,Orazio Attanasio,Claudia Martinez,,,,,,,,,,,
MEP8212: Evaluating platform to reduce info asymmetries w/in students (Ponte en Carrera) (Peru) (IPA received subgrant),"Ministry of Education, Peru",Grant Award,Evaluating platform to reduce information asymmetries within students,Christopher Neilson,4/11/2016,1,1,Peru,0.0,,6/22/2016,,,,,,,,,,,,,
DMI-18-10000 Evaluation of Mass Media Family Planning Campaign on Uptake of Modern Contraceptive Methods (Burkina Faso),Development Media International (DMI),Grant Award,Family Planning Project,Rachel Glennerster,8/15/2016,1,1,Francophone West Africa,0.0,,9/14/2018,,,,,,,,,,,,,
Nudges to Reduce Debt at Tax-Time,Massachusetts Institute of Technology (MIT),Grant Proposal,Baltimore CASH Nudges to Reduce Debt RCT,Dean Karlan,9/14/2015,0,1,,0.0,,9/14/2015,Jeremy Burke,Jonathan Zinman,,,,,,,,,,,
WBK4261 IMPACT EVALUATION OF MSME INVESTMENT AND GENDER IN GHANA - DISBURSEMENT OF GRANTS,World Bank,Grant Award,Ghana SME Investment and Gender,Francisco Moraes Leitao Campos,6/30/2017,1,1,Ghana,0.0,,8/2/2017,Giacomo de Giorgi,"Aminur Rahman 
PhD Marine Gassier",,,,,,,,,,,
WFH3893 Hewlett Foundation #2016-3893,The William and Flora Hewlett Foundation,Grant Award,ImpactMatters,Dean Karlan,2/8/2016,1,1,,1.0,,2/19/2016,,,,,,,,,,,,,
Tools to Improve Parental Recognition of Developmental Deficits in Children: A Randomized Experiment in Zambia,Harvard School of Public Health,Grant Proposal,Nutrition - Stunting (Phase II),Gunther Fink,11/4/2015,0,1,Zambia,0.0,,11/4/2015,Peter C Rockers,,,,,,,,,,,,
WEL6018 Strengthening the evidence base for IPV prevention (includes subcontract to IRC),Wellspring Philanthropic Fund,Grant Award,Leveraging Social Connections for targeted cash transfers,Niall Keleher,5/17/2016,1,1,Sierra Leone,0.0,,8/19/2016,Lori Beaman,Jeremy Magruder,,,,,,,,,,,
AFE Proposal for Training and Guidebook for AFE,Asociacion de Fundaciones Empresariales,Grant Proposal,Training and Guidebook for AFE,,10/4/2016,0,1,Colombia,0.0,,8/23/2016,,,,,,,,,,,,,
WBK0576 Monthly Market Price Data Collection (Rwanda),World Bank,Grant Award,Market Price Data Capture - Price Survey,Maria Jones,8/11/2016,1,1,Rwanda,0.0,,9/19/2016,,,,,,,,,,,,,
New Proposal for ECD (Cuna Mas) descriptive study,"Ministry of Development and Social Inclusion (MIDIS), Peru",Grant Proposal,ECD (Cuna Mas) descriptive study,Andrew Dustan,10/17/2016,0,1,Peru,0.0,,10/17/2016,Stanislao Maldonado,,,,,,,,,,,,
CSF0001: PES Policy (subgrant) (Peru),Conservation Strategy Fund,Grant Award,PES Policy,,5/3/2016,1,1,Peru,0.0,,7/6/2016,,,,,,,,,,,,,
UBS0002 Cycling to School (Zambia),UBS Optimus Foundation,Grant Award,Cycling to School,Nathan Fiala,8/26/2016,1,1,Zambia,0.0,,11/8/2016,Nishith Prakash,"Rachna Nag Chowdhuri 
PhD Kritika Narula",,,,,,,,,,,
MIT3620 Scaling up seasonal loan access through outgrower networks (Zambia),Massachusetts Institute of Technology (MIT),Grant Award,Food Constraints- Scale Up,Kelsey Jack,10/7/2016,1,1,Zambia,0.0,,3/20/2017,Gunther Fink,,,,,,,,,,,,
TFG0088: Detection of soil-transmitted helminth infections in Kenyan children,"Task Force for Global Health, Inc,",Grant Award,Detection of soil-transmitted helminth infections in Kenyan children,Amy Pickering,1/8/2016,1,1,Kenya,0.0,,5/5/2016,Clair Null,,,,,,,,,,,,
Resilience to Climate Change in Uganda,International Initiative for Impact Evaluation (3ie),Grant Proposal,Resilience to Climate Change in Uganda,,5/12/2016,0,1,Uganda,0.0,,5/12/2016,,,,,,,,,,,,,
Mt. Elgon PES IE,International Initiative for Impact Evaluation (3ie),Grant Proposal,Development and Testing of a Mixed-method Impact Evaluation of REDD+ Projects,,5/10/2016,0,1,Uganda,0.0,,5/3/2016,,,,,,,,,,,,,
MIT4127: J-PAL GI E-Governance and Land Administration (Bangladesh),Massachusetts Institute of Technology (MIT),Grant Award,E-Governance and Land Administration,Sebastian Galiani,3/4/2016,1,1,Bangladesh,0.0,,7/15/2016,PhD Srinivasan Vasudevan,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Experiments on targeted financial advice,Dean Karlan,4/9/2015,1,1,,0.0,Allocation,6/4/2015,"Jonathan Zinman 
PhD Kareem Haggag",,,,,,,,,,,,
RUFEP-Savings for Mothers,Rural Finance Expansion Programme,Grant Award,Savings for Mothers,Peter C Rockers,11/1/2018,1,1,Zambia,0.0,,10/30/2018,Calvin Chiu,Peter Hangoma,,,,,,,,,,,
UNP6008: UNDP for Community Organization in Informal Settlements (Bangladesh),United Nations Development Program (UNDP),Grant Award,Community Organization in Informal Settlements,Shahadat Hossain,5/9/2016,1,1,Bangladesh,0.0,,5/9/2016,,,,,,,,,,,,,
AES0002 PSL evaluation with Aestus,AESTUS Foundation,Grant Award,PSL Education,Mauricio Romero,10/5/2016,1,1,Sierra Leone,0.0,,3/1/2017,Wayne Sandholtz,Justin Sandefur,,,,,,,,,,,
Testing Educational Assumptions RDD (IPA would receive a subgrant?),New York University,Grant Proposal,Testing Educational Assumptions,Elisabeth King,1/11/2016,0,1,Kenya,0.0,,1/11/2016,,,,,,,,,,,,,
GAFSP PrSW Malawi Evaluation - Phase I Baseline,World Bank,Grant Proposal,Salima Mangoes,Lidwien Sol,3/31/2016,0,1,Malawi,0.0,,3/31/2016,,,,,,,,,,,,,
World Bank,World Bank,Grant Proposal,Labor Regulation Peru,Paul Gertler,10/25/2016,0,1,Peru,0.0,,6/29/2016,Manuel Barron,,,,,,,,,,,,
Peru Champs Grants for Innova Schools,Massachusetts Institute of Technology (MIT),Grant Proposal,Peru Champs Grants for Innova Schools,Paul Glewwe,5/5/2016,0,1,Peru,0.0,,5/10/2016,,,,,,,,,,,,,
Expanding access to preventive chemotherapy in pregnant women (IPA would receive a subgrant),Catholic Relief Services (CRS)- Kenya,Grant Proposal,Women ASPIRE,Jessie Pinchoff,2/22/2016,0,1,,0.0,,2/22/2016,,,,,,,,,,,,,
MIT0954: GPI for Ministry of Women Technical Assistance (Peru),Massachusetts Institute of Technology (MIT),Grant Award,Ministry of Women Technical Assistance,,12/31/2015,1,1,Peru,0.0,,4/7/2016,,,,,,,,,,,,,
UMI0006: U of M Electoral Dynamics in the (Philippines),University of Michigan,Grant Award,Electoral Dynamics in the Philippines,Nico Ravanilla,3/4/2016,1,1,Philippines,0.0,,5/31/2016,Allen Hicken,Michael Davidson,,,,,,,,,,,
New Proposal for Banking clients,Inter-American Development Bank (IDB),Grant Proposal,Eliminating Behavioral Barriers to Saving through a Tablet App,Jeanne Lafortune,3/1/2016,0,1,Peru,0.0,,3/1/2016,,,,,,,,,,,,,
WBK9306 Sahel Adaptive Social Protection Program,World Bank,Grant Award,Sahel Adaptive Social Protection Program - Constraints Assessment,Dean Karlan,4/6/2016,1,1,,0.0,Allocation,5/10/2016,Christopher Udry,,,,,,,,,,,,
ESRC,Economic and Social Research Council (ESRC),Grant Proposal,Chlorine Dispensers,Agha Ali Akram,5/17/2018,0,1,Sierra Leone,0.0,,5/17/2018,Elif Kubilay,,,,,,,,,,,,
MIT4096 Integrating value chains to improve food safety and increase smallholder incomes (Kenya),Massachusetts Institute of Technology (MIT),Grant Award,Integrating value chains to improve food safety and increase smallholder incomes,Vivian Hoffmann,3/8/2016,1,1,Kenya,0.0,,8/17/2016,"Janneke Janneke Pieters 
PhD Sarah Wairimu Kariuki",,,,,,,,,,,,
"WBK0180 Quality Control and Survey Data Collection of Cash Transfer, Nutrition and ECD Program, Burkina Faso",World Bank,Grant Award,Safety Nets and ECD,Damien de Walque,7/5/2016,1,1,Francophone West Africa,0.0,Allocation,7/15/2016,Richard Akresh,Harounan Kazianga,,,,,,,,,,,
IGC Gender and Adolescence Global Evidence (GAGE),International Growth Centre (IGC),Grant Proposal,Gender and Adolescence Global Evidence (GAGE),Sarah Baird,4/28/2020,0,1,Bangladesh,0.0,,4/28/2020,Joan Hamory Hicks,,,,,,,,,,,,
GGRI Rwanda,United Kingdom Department for International Development (DFID),Grant Proposal,GAGE,Sarah Baird,3/16/2016,0,1,Rwanda,0.0,,3/16/2016,,,,,,,,,,,,,
WAG0001 GoBiFo - Project Competition & Long run Effects,Wageningen University and Research,Grant Award,GoBiFO - Follow up,Maarten Voors,9/1/2016,1,1,Sierra Leone,0.0,,9/20/2016,Katherine Casey,Rachel Glennerster,Ted Miguel,,,,,,,,,,
New Proposal for Institutionalizing use of evidence (MEF),Massachusetts Institute of Technology (MIT),Grant Proposal,Institutionalizing use of evidence (MEF),,3/31/2016,0,1,Peru,0.0,,3/31/2016,,,,,,,,,,,,,
"Health insurance as incentive to enhance dairy income, nutrition and health (IPA would receive a subgrant)",International Food Policy Research Institute (IFPRI),Grant Proposal,Health insurance as incentive to enhance dairy income- nutrition and health,Melissa Hidrobo,3/10/2016,0,1,Kenya,1.0,,4/1/2016,Berber Kramer,Agnes Quisumbing,Becquey Elodie,,,,,,,,,,
IGC9407 Environmental quality and economic development,International Growth Centre (IGC),Grant Award,Environmental quality and economic development,Kelsey Jack,1/1/2016,1,1,Zambia,0.0,,9/19/2016,,,,,,,,,,,,,
GPI Motivating Health Workers,Massachusetts Institute of Technology (MIT),Grant Proposal,Motivating Health Workers,Elisa Maffioli,3/31/2016,0,1,Myanmar,0.0,,3/31/2016,Erica Field,,,,,,,,,,,,
Columbia Arsenic Wells (IPA would receive a subgrant),Columbia University,Grant Proposal,Arsenic Wells,Mushfiq Mobarak,3/31/2016,0,1,Bangladesh,0.0,,3/31/2016,Lex van Geen,,,,,,,,,,,,
COU6305 Columbia Rice Project,Columbia University,Grant Award,Rice Project,Lex van Geen,1/22/2016,1,1,Bangladesh,0.0,,4/12/2016,,,,,,,,,,,,,
FSD0028 Estimating the Impacts of M?Shwari in Kenya - DI/CIFICENTRE/028/2016 - (Won),Financial Sector Deepening Trust,Grant Award,Estimating the Impacts of M?Shwari in Kenya,Tavneet Suri,3/2/2016,1,1,Kenya,0.0,,4/27/2016,,,,,,,,,,,,,
BREB rural electrification (IPA would receive a subgrant),Bangladesh Rural Electrification Board,Grant Proposal,BREB,,10/16/2016,0,1,Bangladesh,0.0,,10/16/2016,,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Leveraging Digitized Government Transfers to Offer Low-Interest Microcredit,Paul Gertler,4/9/2015,1,1,LAC-Other,0.0,Internal Subaward,6/4/2015,Sean Higgins,Seth Garz,,,,,,,,,,,
"TIL0002 BL, Intervention, EL: Improving Small Sized Enterprises Financial Performance through Goal Setting",Tilburg University,Grant Award,Cassava,Patricio Dalton,1/26/2017,1,1,Ghana,0.0,,5/31/2017,Ty Turley,,,,,,,,,,,,
WBK9304: Implementation of A Process Pilot in the Context of The Malawi Social Action Fund Program (Malawi),World Bank,Grant Award,PWP II Pilot,Emanuela Galasso,4/29/2016,1,1,Malawi,0.0,,5/9/2016,Kathleen Beegle,Jessica Goldberg,,,,,,,,,,,
New Proposal for ADB Youth Educational Investments and Labor Market Outcome Survey,Asian Development Bank (ADB),Grant Proposal,ADB Youth Educational Investments and Labor Market Outcome Survey,,6/16/2016,0,1,Philippines,0.0,,6/20/2016,,,,,,,,,,,,,
Conduct a Household Survey on a Sample of Enumeration Areas in Malawi to Measure Weekly Labor Inputs in Farming,World Bank,Grant Proposal,Labor Inputs in Farming,,5/18/2016,0,1,Malawi,0.0,,5/19/2016,,,,,,,,,,,,,
BMG3431 Outcome verification for Kenya Water Services Trust Fund (Kenya),Gates Foundation,Grant Award,VERIFICATION OF SANITATION OUTCOMES IN KENYA,Doug Parkerson,5/20/2016,1,1,Kenya,0.0,,5/20/2016,,,,,,,,,,,,,
WB HH Survey - Maternal Cash Transfer  in Bangladesh,World Bank,Grant Proposal,HH Survey - Maternal Cash Transfer  in Bangladesh,,7/22/2016,0,1,Bangladesh,0.0,,7/24/2016,Mushfiq Mobarak,,,,,,,,,,,,
Old Dart proposal,The Old Dart Foundation,Grant Proposal,Innovation Fund Minedulab,,2/12/2019,0,1,Peru,0.0,,2/12/2019,,,,,,,,,,,,,
New Proposal for Comfama: First-time Home Buyers,COMFAMA ? Caja de Compensación Familiar de Antioquia,Grant Proposal,Comfama- First-time Home Buyers,,8/8/2016,0,1,Colombia,0.0,,8/8/2016,,,,,,,,,,,,,
New Proposal for Adoption of Farmer Insurance,International Initiative for Impact Evaluation (3ie),Grant Proposal,Adoption of Farmer Insurance,Alex Armand,7/17/2016,0,1,Peru,0.0,,7/17/2016,,,,,,,,,,,,,
